time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
0,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
1,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
2,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
3,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
4,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
5,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
6,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
7,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
8,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
9,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
10,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
11,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
12,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
13,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
14,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
15,0.0,0.0,0.0,55.25,0.0,0.0,0.0,55.25,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
16,0.0,0.32,0.0,55.25,0.0,92.36,0.0,147.61,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,52.0,0.0
17,2.33,0.65,0.0,55.25,0.14,184.72,0.0,240.11,0.16,0.2,0.02,0.03,66.7,86.07,52,3.86,0.04,51.96,3.87
18,4.67,0.65,0.0,55.25,0.54,184.72,0.0,240.51,0.31,0.4,0.09,0.11,66.75,86.14,52,7.74,0.08,51.92,7.75
19,7.0,0.65,0.0,55.25,1.22,184.72,0.0,241.19,0.47,0.61,0.19,0.25,66.85,86.26,52,11.64,0.12,51.88,11.66
20,9.33,0.65,0.01,55.25,2.16,184.72,0.0,242.14,0.63,0.81,0.35,0.45,66.98,86.43,52,15.58,0.16,51.84,15.63
21,11.67,0.65,0.01,55.25,3.38,184.72,0.0,243.35,0.79,1.02,0.54,0.7,67.15,86.65,52,19.57,0.2,51.8,19.65
22,14.0,0.6,0.01,55.25,4.87,171.53,0.0,231.64,0.9,1.16,0.78,1.0,66.74,86.13,52,22.36,0.22,51.78,22.45
23,16.0,0.56,0.02,55.25,6.36,158.33,0.0,219.94,0.98,1.23,1.04,1.34,65.66,84.49,52,23.74,0.24,51.76,23.84
24,18.0,0.56,0.02,55.25,8.04,158.33,0.0,221.63,1.11,1.43,1.33,1.71,64.66,83.08,52,27.5,0.28,51.72,27.65
25,20.0,0.56,0.03,55.25,9.93,158.33,0.0,223.52,1.24,1.6,1.66,2.13,64.09,82.41,52,30.82,0.31,51.69,31.0
26,22.0,-0.03,0.03,55.25,12.02,-9.9,0.0,57.37,0.35,0.45,1.88,2.41,59.27,76.22,52,8.6,0.09,51.91,8.62
27,19.75,-0.62,0.04,55.25,9.69,-178.12,0.0,-113.19,-0.62,,1.84,2.41,49.09,64.42,52,,,,
28,17.5,-0.62,0.04,55.25,7.6,-178.12,0.0,-115.27,-0.56,,1.68,2.41,39.29,56.61,52,,,,
29,15.25,-0.62,0.05,55.25,5.77,-178.12,0.0,-117.1,-0.5,,1.53,2.41,32.39,51.15,52,,,,
30,13.0,-0.31,0.05,55.25,4.2,-89.06,0.0,-29.62,-0.11,,1.44,2.41,28.27,47.22,52,,,,
31,13.0,0.0,0.05,55.25,4.2,0.0,0.0,59.45,0.21,0.28,1.46,2.41,26.67,44.11,52,5.33,0.05,51.95,5.33
32,13.0,0.28,0.06,55.25,4.2,79.17,0.0,138.61,0.5,0.65,1.56,2.54,26.73,43.57,52,12.42,0.12,51.88,12.45
33,15.0,0.56,0.06,55.25,5.59,158.33,0.0,219.17,0.91,1.15,1.76,2.79,28.21,44.87,52,22.17,0.22,51.78,22.27
34,17.0,0.56,0.07,55.25,7.18,158.33,0.0,220.76,1.04,1.35,2.03,3.14,30.4,47.08,52,25.87,0.26,51.74,26.0
35,19.0,0.56,0.07,55.25,8.96,158.33,0.0,222.55,1.17,1.52,2.33,3.54,32.58,49.34,52,29.15,0.29,51.71,29.31
36,21.0,0.56,0.08,55.25,10.95,158.33,0.0,224.53,1.31,1.61,2.68,3.97,34.7,51.41,52,30.92,0.31,51.69,31.11
37,23.0,0.5,0.08,55.25,13.14,142.5,0.0,210.89,1.35,1.66,3.05,4.42,36.59,53.09,52,31.99,0.32,51.68,32.19
38,24.6,0.44,0.09,55.25,15.03,126.67,0.0,196.94,1.35,1.66,3.42,4.89,38.06,54.32,52,31.95,0.32,51.68,32.15
39,26.2,0.44,0.1,55.25,17.04,126.67,0.0,198.96,1.45,1.79,3.81,5.37,39.29,55.31,52,34.38,0.34,51.66,34.61
40,27.8,0.44,0.1,55.25,19.19,126.67,0.0,201.11,1.55,1.92,4.23,5.88,40.46,56.26,52,36.87,0.37,51.63,37.13
41,29.4,0.44,0.11,55.25,21.46,126.67,0.0,203.38,1.66,2.05,4.67,6.43,41.57,57.19,52,39.43,0.39,51.61,39.73
42,31.0,-0.06,0.12,55.25,23.86,-15.83,0.0,63.28,0.54,0.69,4.98,6.81,41.22,56.37,52,13.29,0.13,51.87,13.33
43,29.0,-0.56,0.13,55.25,20.88,-158.33,0.0,-82.2,-0.66,,4.96,6.81,38.43,52.73,52,,,,
44,27.0,-0.56,0.14,55.25,18.1,-158.33,0.0,-84.98,-0.64,,4.78,6.81,34.93,49.74,52,,,,
45,25.0,-0.28,0.14,55.25,15.52,-79.17,0.0,-8.4,-0.06,,4.69,6.81,32.51,47.25,52,,,,
46,25.0,0.0,0.15,55.25,15.52,0.0,0.0,70.77,0.49,0.63,4.75,6.81,31.42,45.08,52,12.06,0.12,51.88,12.08
47,25.0,0.0,0.16,55.25,15.52,0.0,0.0,70.77,0.49,0.63,4.88,6.99,30.9,44.2,52,12.06,0.12,51.88,12.08
