time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
14,14.48,-1.34,0.04,51.3,4.72,-355.4,0.0,-299.38,-1.2,-1.51,1.17,1.46,30.89,38.61,345.6,-4.36,-0.91,346.51,-4.35
15,8.05,-1.34,0.04,51.3,1.46,-355.4,0.0,-302.64,-0.68,-0.85,0.91,1.13,22.14,27.67,345.6,-2.45,-0.51,346.11,-2.44
16,4.83,-1.12,0.04,51.3,0.52,-296.16,0.0,-244.34,-0.33,-0.41,0.77,0.96,17.94,22.43,345.6,-1.19,-0.25,345.85,-1.18
17,0.0,-0.67,0.04,51.3,0.0,-177.7,0.0,-126.4,-0.0,-0.0,0.72,0.9,16.62,20.77,345.6,-0.0,-0.0,345.6,-0.0
18,0.0,1.12,0.04,51.3,0.0,296.16,0.0,347.46,0.0,0.0,0.72,0.9,16.62,20.77,345.6,0.0,0.0,345.6,0.0
19,8.05,2.01,0.04,51.3,1.46,533.09,0.0,585.85,1.31,1.64,0.9,1.13,20.29,25.36,345.6,4.74,0.99,344.61,4.75
20,14.48,1.34,0.05,51.3,4.72,355.4,0.0,411.42,1.66,2.07,1.31,1.64,27.6,34.5,345.6,5.99,1.25,344.35,6.01
21,17.7,0.67,0.05,51.3,7.05,177.7,0.0,236.05,1.16,1.45,1.71,2.13,32.74,40.93,345.6,4.2,0.87,344.73,4.21
22,19.31,0.22,0.06,51.3,8.39,59.23,0.0,118.92,0.64,0.8,1.96,2.44,34.17,42.71,345.6,2.31,0.48,345.12,2.31
23,19.31,0.0,0.06,51.3,8.39,0.0,0.0,59.69,0.32,0.4,2.09,2.61,33.37,41.71,345.6,1.16,0.24,345.36,1.16
24,19.31,0.22,0.07,51.3,8.39,59.23,0.0,118.92,0.64,0.8,2.22,2.78,32.69,40.86,345.6,2.31,0.48,345.12,2.31
25,20.92,0.22,0.07,51.3,9.85,59.23,0.0,120.38,0.7,0.87,2.41,3.01,32.73,40.92,345.6,2.53,0.53,345.07,2.53
26,20.92,0.0,0.08,51.3,9.85,0.0,0.0,61.15,0.36,0.44,2.55,3.19,32.18,40.23,345.6,1.29,0.27,345.33,1.29
27,20.92,-0.22,0.09,51.3,9.85,-59.23,0.0,1.92,0.01,0.01,2.6,3.26,30.58,38.23,345.6,0.04,0.01,345.59,0.04
28,19.31,-0.22,0.09,51.3,8.39,-59.23,0.0,0.46,0.0,0.0,2.61,3.26,28.72,35.9,345.6,0.01,0.0,345.6,0.01
29,19.31,-0.22,0.1,51.3,8.39,-59.23,0.0,0.46,0.0,0.0,2.61,3.26,27.13,33.91,345.6,0.01,0.0,345.6,0.01
30,17.7,-0.67,0.1,51.3,7.05,-177.7,0.0,-119.35,-0.59,-0.73,2.53,3.16,24.95,31.18,345.6,-2.12,-0.44,346.04,-2.12
31,14.48,-0.67,0.11,51.3,4.72,-177.7,0.0,-121.68,-0.49,-0.61,2.38,2.97,22.48,28.1,345.6,-1.77,-0.37,345.97,-1.77
32,12.87,-0.22,0.11,51.3,3.73,-59.23,0.0,-4.2,-0.02,-0.02,2.31,2.88,21.06,26.32,345.6,-0.05,-0.01,345.61,-0.05
33,12.87,0.45,0.11,51.3,3.73,118.47,0.0,173.49,0.62,0.78,2.39,2.99,21.14,26.42,345.6,2.24,0.47,345.13,2.25
34,16.09,0.45,0.12,51.3,5.83,118.47,0.0,175.59,0.78,0.98,2.59,3.23,22.08,27.59,345.6,2.84,0.59,345.01,2.84
35,16.09,-0.22,0.12,51.3,5.83,-59.23,0.0,-2.11,-0.01,-0.01,2.69,3.37,22.15,27.69,345.6,-0.03,-0.01,345.61,-0.03
36,14.48,-0.45,0.13,51.3,4.72,-118.47,0.0,-62.45,-0.25,-0.31,2.66,3.32,21.11,26.39,345.6,-0.91,-0.19,345.79,-0.91
37,12.87,-0.45,0.13,51.3,3.73,-118.47,0.0,-63.44,-0.23,-0.28,2.59,3.24,19.98,24.98,345.6,-0.82,-0.17,345.77,-0.82
38,11.27,-0.22,0.13,51.3,2.86,-59.23,0.0,-5.08,-0.02,-0.02,2.56,3.2,19.23,24.03,345.6,-0.06,-0.01,345.61,-0.06
39,11.27,-0.22,0.14,51.3,2.86,-59.23,0.0,-5.08,-0.02,-0.02,2.55,3.19,18.75,23.44,345.6,-0.06,-0.01,345.61,-0.06
40,9.66,-0.89,0.14,51.3,2.1,-236.93,0.0,-183.53,-0.49,-0.62,2.48,3.1,17.85,22.32,345.6,-1.78,-0.37,345.97,-1.78
41,4.83,-1.34,0.14,51.3,0.52,-355.4,0.0,-303.57,-0.41,-0.51,2.36,2.95,16.71,20.89,345.6,-1.47,-0.31,345.91,-1.47
42,0.0,-0.67,0.14,51.3,0.0,-177.7,0.0,-126.4,-0.0,-0.0,2.3,2.88,16.23,20.29,345.6,-0.0,-0.0,345.6,-0.0
43,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
44,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
45,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
46,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
47,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
48,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
49,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
50,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
51,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
52,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
53,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
54,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
55,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
56,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
57,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
58,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
59,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
60,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
61,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
62,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
63,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
64,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
65,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
66,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
67,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
68,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
69,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
70,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
71,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
72,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
73,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
74,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
75,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
76,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
77,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
78,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
79,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
80,0.0,0.0,0.14,51.3,0.0,0.0,0.0,51.3,0.0,0.0,2.3,2.88,16.23,20.29,345.6,0.0,0.0,345.6,0.0
