time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,pack_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
384,71.0,2.92,10.43,51.3,113.42,772.92,0.0,937.64,18.49,23.12,1521.04,1901.3,145.83,182.28,345.6,66.88,13.91,331.69,69.69
385,89.0,5.0,10.45,51.3,178.22,1325.0,0.0,1554.52,38.43,48.04,1528.94,1911.18,146.27,182.84,345.6,139.0,28.91,316.69,151.69
386,107.0,5.42,10.48,51.3,257.6,1435.42,0.0,1744.32,51.85,64.81,1541.48,1926.85,147.09,183.86,345.6,187.52,39.0,306.6,211.37
387,128.0,5.42,10.51,51.3,368.64,1435.42,0.0,1855.36,65.97,82.46,1557.85,1947.31,148.19,185.24,345.6,238.6,49.63,295.97,278.61
388,146.0,4.86,10.55,51.3,479.61,1288.19,0.0,1819.1,73.77,92.22,1577.25,1971.57,149.49,186.87,345.6,266.84,55.5,290.1,317.89
389,163.0,4.03,10.59,51.3,597.8,1067.36,0.0,1716.46,77.72,97.15,1598.29,1997.87,150.88,188.59,345.6,281.1,58.47,287.13,338.34
390,175.0,3.33,10.64,51.3,689.06,883.33,0.0,1623.7,78.93,98.66,1620.05,2025.06,152.25,190.32,345.6,285.48,59.38,286.22,344.71
391,187.0,2.92,10.69,51.3,786.8,772.92,0.0,1611.02,83.68,104.6,1642.64,2053.3,153.65,192.06,345.6,302.67,62.96,282.64,370.09
392,196.0,2.5,10.74,51.3,864.36,662.5,0.0,1578.16,85.92,107.4,1666.19,2082.74,155.08,193.85,345.6,310.77,64.64,280.96,382.27
393,205.0,2.36,10.8,51.3,945.56,625.69,0.0,1622.56,92.4,115.49,1690.96,2113.7,156.58,195.72,345.6,334.19,69.51,276.09,418.32
394,213.0,1.81,10.86,51.3,1020.8,478.47,0.0,1550.57,91.74,114.68,1716.53,2145.67,158.09,197.62,345.6,331.82,69.02,276.58,414.63
395,218.0,1.67,10.92,51.3,1069.29,441.67,0.0,1562.26,94.6,118.25,1742.42,2178.02,159.6,199.5,345.6,342.17,71.17,274.43,430.91
396,225.0,1.53,10.98,51.3,1139.06,404.86,0.0,1595.22,99.7,124.63,1769.4,2211.75,161.16,201.45,345.6,360.61,75.01,270.59,460.57
397,229.0,-1.67,11.04,51.3,1179.92,-441.67,0.0,789.56,50.22,62.78,1790.23,2237.78,162.13,202.66,345.6,181.66,37.78,307.82,203.96
398,213.0,-6.67,11.1,51.3,1020.8,-1766.67,0.0,-694.56,-41.1,-51.37,1791.49,2239.37,161.35,201.68,345.6,-148.64,-30.92,376.52,-136.43
399,181.0,-8.47,11.16,51.3,737.12,-2245.14,0.0,-1456.72,-73.24,-91.55,1775.61,2219.52,159.13,198.91,345.6,-264.9,-55.1,400.7,-228.48
400,152.0,-7.92,11.2,51.3,519.84,-2097.92,0.0,-1526.78,-64.46,-80.58,1756.49,2195.61,156.77,195.96,345.6,-233.16,-48.5,394.1,-204.47
401,124.0,-6.94,11.24,51.3,345.96,-1840.28,0.0,-1443.02,-49.7,-62.13,1740.63,2175.79,154.82,193.53,345.6,-179.77,-37.39,382.99,-162.22
402,102.0,-5.56,11.27,51.3,234.09,-1472.22,0.0,-1186.83,-33.63,-42.03,1729.06,2161.32,153.36,191.71,345.6,-121.63,-25.3,370.9,-113.33
403,84.0,-4.72,11.3,51.3,158.76,-1251.39,0.0,-1041.33,-24.3,-30.37,1721.01,2151.27,152.3,190.38,345.6,-87.88,-18.28,363.88,-83.47
404,68.0,-3.61,11.32,51.3,104.04,-956.94,0.0,-801.6,-15.14,-18.93,1715.53,2144.42,151.53,189.42,345.6,-54.76,-11.39,356.99,-53.02
405,58.0,-0.83,11.34,51.3,75.69,-220.83,0.0,-93.84,-1.51,-1.89,1713.22,2141.53,151.1,188.87,345.6,-5.47,-1.14,346.74,-5.45
406,62.0,1.11,11.36,51.3,86.49,294.44,0.0,432.23,7.44,9.31,1714.05,2142.56,150.95,188.68,345.6,26.92,5.6,340.0,27.37
407,66.0,2.5,11.37,51.3,98.01,662.5,0.0,811.81,14.88,18.6,1717.15,2146.43,150.98,188.73,345.6,53.83,11.2,334.4,55.63
408,80.0,5.14,11.39,51.3,144.0,1361.81,0.0,1557.11,34.6,43.25,1724.02,2155.02,151.32,189.15,345.6,125.15,26.03,319.57,135.35
409,103.0,6.11,11.42,51.3,238.7,1619.44,0.0,1909.45,54.63,68.29,1736.41,2170.52,152.07,190.08,345.6,197.6,41.1,304.5,224.27
410,124.0,5.56,11.45,51.3,345.96,1472.22,0.0,1869.48,64.39,80.49,1752.94,2191.18,153.09,191.36,345.6,232.9,48.44,297.16,270.87
411,143.0,4.86,11.49,51.3,460.1,1288.19,0.0,1799.6,71.48,89.35,1771.82,2214.77,154.24,192.8,345.6,258.55,53.78,291.82,306.2
412,159.0,4.17,11.53,51.3,568.82,1104.17,0.0,1724.29,76.16,95.2,1792.32,2240.4,155.46,194.32,345.6,275.45,57.29,288.31,330.19
413,173.0,3.47,11.58,51.3,673.4,920.14,0.0,1644.84,79.04,98.8,1813.88,2267.35,156.7,195.88,345.6,285.89,59.47,286.13,345.31
414,184.0,2.92,11.62,51.3,761.76,772.92,0.0,1585.98,81.06,101.33,1836.11,2295.14,157.95,197.43,345.6,293.19,60.98,284.62,356.01
415,194.0,2.5,11.68,51.3,846.81,662.5,0.0,1560.61,84.1,105.12,1859.05,2323.82,159.2,199.0,345.6,304.18,63.27,282.33,372.35
416,202.0,2.08,11.73,51.3,918.09,552.08,0.0,1521.47,85.37,106.71,1882.59,2353.24,160.46,200.57,345.6,308.78,64.23,281.37,379.26
417,209.0,1.94,11.79,51.3,982.82,515.28,0.0,1549.4,89.95,112.44,1906.94,2383.68,161.75,202.18,345.6,325.34,67.67,277.93,404.56
418,216.0,1.39,11.85,51.3,1049.76,368.06,0.0,1469.12,88.15,110.18,1931.68,2414.6,163.03,203.79,345.6,318.82,66.31,279.29,394.52
419,219.0,1.25,11.91,51.3,1079.12,331.25,0.0,1461.67,88.92,111.15,1956.27,2445.34,164.27,205.33,345.6,321.61,66.89,278.71,398.8
420,225.0,0.42,11.97,51.3,1139.06,110.42,0.0,1300.78,81.3,101.62,1979.91,2474.89,165.4,206.75,345.6,294.05,61.16,284.44,357.28
421,222.0,-3.19,12.03,51.3,1108.89,-846.53,0.0,313.66,19.34,24.18,1993.89,2492.36,165.7,207.13,345.6,69.96,14.55,331.05,73.04
422,202.0,-5.56,12.09,51.3,918.09,-1472.22,0.0,-502.83,-28.21,-35.27,1992.66,2490.82,164.8,205.99,345.6,-102.05,-21.23,366.83,-96.14
423,182.0,-6.25,12.14,51.3,745.29,-1656.25,0.0,-859.66,-43.46,-54.33,1982.7,2478.38,163.25,204.07,345.6,-157.19,-32.7,378.3,-143.61
424,157.0,-7.08,12.19,51.3,554.6,-1877.08,0.0,-1271.18,-55.44,-69.3,1968.97,2461.21,161.5,201.87,345.6,-200.51,-41.71,387.31,-178.92
425,131.0,-6.94,12.23,51.3,386.12,-1840.28,0.0,-1402.86,-51.05,-63.81,1954.18,2442.72,159.76,199.7,345.6,-184.64,-38.4,384.0,-166.17
426,107.0,-5.28,12.27,51.3,257.6,-1398.61,0.0,-1089.71,-32.39,-40.49,1942.59,2428.23,158.38,197.98,345.6,-117.15,-24.37,369.97,-109.43
427,93.0,-3.61,12.29,51.3,194.6,-956.94,0.0,-711.04,-18.37,-22.96,1935.54,2419.42,157.45,196.81,345.6,-66.44,-13.82,359.42,-63.88
428,81.0,-3.33,12.32,51.3,147.62,-883.33,0.0,-684.41,-15.4,-19.25,1930.85,2413.56,156.76,195.95,345.6,-55.7,-11.59,357.19,-53.89
429,69.0,-3.06,12.34,51.3,107.12,-809.72,0.0,-651.3,-12.48,-15.6,1926.98,2408.72,156.18,195.23,345.6,-45.15,-9.39,354.99,-43.96
430,59.0,-1.25,12.36,51.3,78.32,-331.25,0.0,-201.63,-3.3,-4.13,1924.78,2405.98,155.78,194.73,345.6,-11.95,-2.49,348.09,-11.87
431,60.0,0.42,12.37,51.3,81.0,110.42,0.0,242.72,4.05,5.06,1924.89,2406.11,155.58,194.48,345.6,14.63,3.04,342.56,14.76
432,62.0,0.56,12.39,51.3,86.49,147.22,0.0,285.01,4.91,6.14,1926.13,2407.66,155.47,194.34,345.6,17.75,3.69,341.91,17.95
433,64.0,1.39,12.41,51.3,92.16,368.06,0.0,511.52,9.09,11.37,1928.07,2410.09,155.41,194.26,345.6,32.89,6.84,338.76,33.55
434,72.0,0.28,12.43,51.3,116.64,73.61,0.0,241.55,4.83,6.04,1930.01,2412.51,155.33,194.16,345.6,17.47,3.63,341.97,17.66
435,66.0,-2.08,12.44,51.3,98.01,-552.08,0.0,-402.77,-7.38,-9.23,1929.65,2412.07,155.06,193.82,345.6,-26.71,-5.56,351.16,-26.29
436,57.0,-1.94,12.46,51.3,73.1,-515.28,0.0,-390.88,-6.19,-7.74,1927.77,2409.71,154.69,193.37,345.6,-22.38,-4.66,350.26,-22.09
437,52.0,0.14,12.48,51.3,60.84,36.81,0.0,148.95,2.15,2.69,1927.21,2409.01,154.46,193.08,345.6,7.78,1.62,343.98,7.82
438,58.0,3.19,12.49,51.3,75.69,846.53,0.0,973.52,15.68,19.61,1929.68,2412.11,154.47,193.09,345.6,56.73,11.8,333.8,58.73
439,75.0,5.42,12.51,51.3,126.56,1435.42,0.0,1613.28,33.61,42.01,1936.53,2420.66,154.79,193.49,345.6,121.56,25.29,320.31,131.16
440,97.0,5.42,12.53,51.3,211.7,1435.42,0.0,1698.42,45.76,57.2,1947.55,2434.44,155.37,194.22,345.6,165.52,34.43,311.17,183.83
441,114.0,4.03,12.56,51.3,292.41,1067.36,0.0,1411.07,44.68,55.85,1960.12,2450.15,156.01,195.01,345.6,161.62,33.62,311.98,179.03
442,126.0,3.47,12.6,51.3,357.21,920.14,0.0,1328.65,46.5,58.13,1972.78,2465.98,156.6,195.76,345.6,168.2,34.98,310.62,187.14
443,139.0,2.5,12.63,51.3,434.72,662.5,0.0,1148.52,44.35,55.43,1985.4,2481.75,157.15,196.43,345.6,160.39,33.36,312.24,177.53
444,144.0,0.69,12.67,51.3,466.56,184.03,0.0,701.89,28.08,35.09,1995.46,2494.32,157.45,196.82,345.6,101.55,21.12,324.48,108.16
445,144.0,0.14,12.71,51.3,466.56,36.81,0.0,554.67,22.19,27.73,2002.44,2503.05,157.51,196.88,345.6,80.25,16.69,328.91,84.32
446,145.0,0.97,12.75,51.3,473.06,257.64,0.0,782.0,31.5,39.37,2009.9,2512.37,157.6,196.99,345.6,113.92,23.7,321.9,122.31
447,151.0,2.22,12.79,51.3,513.02,588.89,0.0,1153.21,48.37,60.46,2020.99,2526.23,157.96,197.45,345.6,174.95,36.39,309.21,195.54
448,161.0,3.06,12.84,51.3,583.22,809.72,0.0,1444.24,64.59,80.74,2036.68,2545.85,158.65,198.31,345.6,233.61,48.59,297.01,271.84
449,173.0,2.92,12.88,51.3,673.4,772.92,0.0,1497.62,71.97,89.96,2055.64,2569.55,159.55,199.43,345.6,260.3,54.14,291.46,308.66
450,182.0,2.36,12.93,51.3,745.29,625.69,0.0,1422.28,71.9,89.88,2075.63,2594.53,160.48,200.6,345.6,260.07,54.09,291.51,308.33
451,190.0,1.67,12.99,51.3,812.25,441.67,0.0,1305.22,68.89,86.11,2095.18,2618.97,161.35,201.69,345.6,249.16,51.82,293.78,293.11
452,194.0,-1.53,13.04,51.3,846.81,-404.86,0.0,493.25,26.58,33.23,2108.44,2635.55,161.71,202.13,345.6,96.14,20.0,325.6,102.04
453,179.0,-5.83,13.09,51.3,720.92,-1545.83,0.0,-773.61,-38.47,-48.08,2106.79,2633.49,160.94,201.18,345.6,-139.13,-28.94,374.54,-128.38
454,152.0,-7.36,13.14,51.3,519.84,-1950.69,0.0,-1379.55,-58.25,-72.81,2093.36,2616.7,159.36,199.19,345.6,-210.68,-43.82,389.42,-186.97
455,126.0,-7.08,13.17,51.3,357.21,-1877.08,0.0,-1468.57,-51.4,-64.25,2078.13,2597.66,157.73,197.17,345.6,-185.91,-38.67,384.27,-167.2
456,101.0,-6.25,13.21,51.3,229.52,-1656.25,0.0,-1375.43,-38.59,-48.24,2065.63,2582.04,156.41,195.51,345.6,-139.57,-29.03,374.63,-128.75
457,81.0,-4.44,13.23,51.3,147.62,-1177.78,0.0,-978.86,-22.02,-27.53,2057.21,2571.51,155.47,194.34,345.6,-79.66,-16.57,362.17,-76.02
458,69.0,-2.5,13.25,51.3,107.12,-662.5,0.0,-504.08,-9.66,-12.08,2052.81,2566.01,154.9,193.62,345.6,-34.94,-7.27,352.87,-34.22
459,63.0,0.0,13.27,51.3,89.3,0.0,0.0,140.6,2.46,3.08,2051.81,2564.76,154.61,193.26,345.6,8.9,1.85,343.75,8.95
460,69.0,3.33,13.29,51.3,107.12,883.33,0.0,1041.76,19.97,24.96,2054.92,2568.66,154.63,193.29,345.6,72.22,15.02,330.58,75.5
461,87.0,5.56,13.31,51.3,170.3,1472.22,0.0,1693.82,40.93,51.17,2063.38,2579.23,155.01,193.77,345.6,148.05,30.8,314.8,162.54
462,109.0,5.83,13.34,51.3,267.32,1545.83,0.0,1864.46,56.45,70.56,2076.91,2596.14,155.71,194.64,345.6,204.18,42.47,303.13,232.79
463,129.0,4.44,13.37,51.3,374.42,1177.78,0.0,1603.5,57.46,71.82,2092.73,2615.91,156.51,195.64,345.6,207.82,43.23,302.37,237.53
464,141.0,0.28,13.41,51.3,447.32,73.61,0.0,572.23,22.41,28.02,2103.82,2629.78,156.9,196.12,345.6,81.06,16.86,328.74,85.22
465,131.0,-2.22,13.45,51.3,386.12,-588.89,0.0,-151.47,-5.51,-6.89,2106.17,2632.71,156.63,195.79,345.6,-19.94,-4.15,349.75,-19.7
466,125.0,-1.25,13.48,51.3,351.56,-331.25,0.0,71.61,2.49,3.11,2105.75,2632.19,156.19,195.24,345.6,8.99,1.87,343.73,9.04
467,122.0,-0.56,13.52,51.3,334.89,-147.22,0.0,238.97,8.1,10.12,2107.22,2634.03,155.9,194.88,345.6,29.29,6.09,339.51,29.82
468,121.0,-0.42,13.55,51.3,329.42,-110.42,0.0,270.31,9.09,11.36,2109.61,2637.01,155.69,194.61,345.6,32.86,6.83,338.77,33.52
469,119.0,0.28,13.58,51.3,318.62,73.61,0.0,443.53,14.66,18.33,2112.9,2641.13,155.55,194.44,345.6,53.03,11.03,334.57,54.78
470,123.0,0.42,13.62,51.3,340.4,110.42,0.0,502.12,17.16,21.44,2117.32,2646.65,155.49,194.36,345.6,62.05,12.91,332.69,64.46
471,122.0,0.14,13.65,51.3,334.89,36.81,0.0,423.0,14.33,17.92,2121.7,2652.12,155.42,194.28,345.6,51.85,10.78,334.82,53.52
472,124.0,1.25,13.69,51.3,345.96,331.25,0.0,728.51,25.09,31.37,2127.17,2658.97,155.44,194.29,345.6,90.76,18.88,326.72,96.0
473,131.0,0.56,13.72,51.3,386.12,147.22,0.0,584.64,21.27,26.59,2133.61,2667.02,155.5,194.38,345.6,76.95,16.01,329.59,80.68
474,128.0,-1.94,13.76,51.3,368.64,-515.28,0.0,-95.34,-3.39,-4.24,2136.1,2670.12,155.28,194.1,345.6,-12.26,-2.55,348.15,-12.17
475,117.0,-2.64,13.79,51.3,308.0,-699.31,0.0,-340.0,-11.05,-13.81,2134.09,2667.62,154.75,193.44,345.6,-39.97,-8.31,353.91,-39.03
476,109.0,-0.69,13.82,51.3,267.32,-184.03,0.0,134.59,4.08,5.09,2133.12,2666.4,154.33,192.91,345.6,14.74,3.07,342.53,14.87
477,112.0,1.53,13.85,51.3,282.24,404.86,0.0,738.4,22.97,28.72,2136.88,2671.1,154.26,192.82,345.6,83.09,17.28,328.32,87.46
478,120.0,2.78,13.88,51.3,324.0,736.11,0.0,1111.41,37.05,46.31,2145.22,2681.52,154.5,193.12,345.6,134.0,27.87,317.73,145.75
479,132.0,3.47,13.92,51.3,392.04,920.14,0.0,1363.48,49.99,62.49,2157.31,2696.63,154.98,193.72,345.6,180.82,37.61,307.99,202.91
480,145.0,3.61,13.96,51.3,473.06,956.94,0.0,1481.31,59.66,74.58,2172.54,2715.67,155.64,194.55,345.6,215.8,44.89,300.71,248.01
481,158.0,3.47,14.0,51.3,561.69,920.14,0.0,1533.13,67.29,84.11,2190.17,2737.71,156.43,195.54,345.6,243.37,50.62,294.98,285.14
482,170.0,0.28,14.05,51.3,650.25,73.61,0.0,775.16,36.6,45.76,2204.6,2755.75,156.95,196.19,345.6,132.4,27.54,318.06,143.86
483,160.0,-4.03,14.09,51.3,576.0,-1067.36,0.0,-440.06,-19.56,-24.45,2206.96,2758.71,156.61,195.76,345.6,-70.74,-14.71,360.31,-67.85
484,141.0,-5.14,14.13,51.3,447.32,-1361.81,0.0,-863.18,-33.81,-42.26,2199.55,2749.44,155.62,194.53,345.6,-122.28,-25.43,371.03,-113.9
485,123.0,-4.31,14.17,51.3,340.4,-1140.97,0.0,-749.27,-25.6,-32.0,2191.3,2739.13,154.64,193.3,345.6,-92.59,-19.26,364.86,-87.71
486,110.0,-2.5,14.2,51.3,272.25,-662.5,0.0,-338.95,-10.36,-12.95,2186.31,2732.88,153.94,192.42,345.6,-37.46,-7.79,353.39,-36.63
487,105.0,0.28,14.23,51.3,248.06,73.61,0.0,372.97,10.88,13.6,2186.38,2732.97,153.62,192.02,345.6,39.35,8.18,337.42,40.3
488,112.0,1.53,14.26,51.3,282.24,404.86,0.0,738.4,22.97,28.72,2191.08,2738.85,153.62,192.03,345.6,83.09,17.28,328.32,87.46
489,116.0,-0.14,14.29,51.3,302.76,-36.81,0.0,317.25,10.22,12.78,2195.69,2744.61,153.6,192.01,345.6,36.97,7.69,337.91,37.82
490,111.0,0.56,14.33,51.3,277.22,147.22,0.0,475.74,14.67,18.34,2199.15,2748.94,153.51,191.88,345.6,53.06,11.04,334.56,54.81
491,120.0,3.61,14.36,51.3,324.0,956.94,0.0,1332.24,44.41,55.51,2207.35,2759.19,153.74,192.17,345.6,160.62,33.41,312.19,177.81
492,137.0,4.58,14.39,51.3,422.3,1214.58,0.0,1688.19,64.24,80.31,2222.44,2778.06,154.4,193.0,345.6,232.37,48.33,297.27,270.15
493,153.0,4.17,14.43,51.3,526.7,1104.17,0.0,1682.17,71.49,89.37,2241.3,2801.62,155.28,194.1,345.6,258.58,53.78,291.82,306.24
494,167.0,3.47,14.48,51.3,627.5,920.14,0.0,1598.94,74.17,92.72,2261.53,2826.91,156.2,195.25,345.6,268.28,55.8,289.8,319.93
495,178.0,2.36,14.53,51.3,712.89,625.69,0.0,1389.88,68.72,85.9,2281.38,2851.72,157.05,196.31,345.6,248.56,51.7,293.9,292.29
496,184.0,-1.94,14.58,51.3,761.76,-515.28,0.0,297.78,15.22,19.02,2293.03,2866.29,157.31,196.64,345.6,55.05,11.45,334.15,56.94
497,164.0,-6.67,14.62,51.3,605.16,-1766.67,0.0,-1110.21,-50.58,-63.22,2288.12,2860.15,156.45,195.57,345.6,-182.93,-38.05,383.65,-164.79
498,136.0,-6.94,14.67,51.3,416.16,-1840.28,0.0,-1372.82,-51.86,-64.83,2273.9,2842.37,155.04,193.8,345.6,-187.58,-39.02,384.62,-168.55
499,114.0,-5.42,14.7,51.3,292.41,-1435.42,0.0,-1091.71,-34.57,-43.21,2261.89,2827.36,153.86,192.32,345.6,-125.04,-26.01,371.61,-116.29
500,97.0,-4.31,14.73,51.3,211.7,-1140.97,0.0,-877.97,-23.66,-29.57,2253.8,2817.25,153.0,191.25,345.6,-85.56,-17.8,363.4,-81.37
501,83.0,-3.61,14.76,51.3,155.0,-956.94,0.0,-750.64,-17.31,-21.63,2248.11,2810.14,152.36,190.44,345.6,-62.6,-13.02,358.62,-60.32
502,71.0,-3.47,14.78,51.3,113.42,-920.14,0.0,-755.42,-14.9,-18.62,2243.64,2804.55,151.83,189.79,345.6,-53.89,-11.21,356.81,-52.19
503,58.0,-2.78,14.79,51.3,75.69,-736.11,0.0,-609.12,-9.81,-12.27,2240.21,2800.26,151.42,189.27,345.6,-35.49,-7.38,352.98,-34.75
504,51.0,0.42,14.81,51.3,58.52,110.42,0.0,220.24,3.12,3.9,2239.28,2799.1,151.2,189.0,345.6,11.28,2.35,343.25,11.36
505,61.0,4.03,14.83,51.3,83.72,1067.36,0.0,1202.38,20.37,25.47,2242.54,2803.18,151.26,189.08,345.6,73.69,15.33,330.27,77.11
506,80.0,5.42,14.85,51.3,144.0,1435.42,0.0,1630.72,36.24,45.3,2250.41,2813.01,151.59,189.49,345.6,131.07,27.26,318.34,142.29
507,100.0,4.58,14.87,51.3,225.0,1214.58,0.0,1490.88,41.41,51.77,2261.19,2826.49,152.06,190.08,345.6,149.79,31.16,314.44,164.63
508,113.0,2.36,14.9,51.3,287.3,625.69,0.0,964.3,30.27,37.84,2271.15,2838.93,152.43,190.53,345.6,109.48,22.77,322.83,117.2
509,117.0,0.83,14.93,51.3,308.0,220.83,0.0,580.14,18.85,23.57,2277.97,2847.46,152.56,190.7,345.6,68.19,14.18,331.42,71.11
510,119.0,1.94,14.96,51.3,318.62,515.28,0.0,885.2,29.26,36.58,2284.65,2855.81,152.67,190.84,345.6,105.83,22.01,323.59,113.03
511,131.0,2.22,15.0,51.3,386.12,588.89,0.0,1026.31,37.35,46.68,2293.9,2867.38,152.93,191.17,345.6,135.08,28.1,317.5,147.03
512,135.0,-1.39,15.04,51.3,410.06,-368.06,0.0,93.31,3.5,4.37,2299.58,2874.47,152.94,191.17,345.6,12.66,2.63,342.97,12.75
513,121.0,-3.89,15.07,51.3,329.42,-1030.56,0.0,-649.83,-21.84,-27.3,2297.03,2871.28,152.41,190.51,345.6,-79.0,-16.43,362.03,-75.41
514,107.0,-3.61,15.1,51.3,257.6,-956.94,0.0,-648.04,-19.26,-24.08,2291.32,2864.15,151.71,189.64,345.6,-69.67,-14.49,360.09,-66.86
515,95.0,-2.36,15.13,51.3,203.06,-625.69,0.0,-371.33,-9.8,-12.25,2287.28,2859.1,151.16,188.95,345.6,-35.44,-7.37,352.97,-34.7
516,90.0,0.56,15.16,51.3,182.25,147.22,0.0,380.77,9.52,11.9,2287.24,2859.06,150.9,188.63,345.6,34.43,7.16,338.44,35.16
517,99.0,3.61,15.18,51.3,220.52,956.94,0.0,1228.77,33.79,42.24,2293.26,2866.57,151.04,188.8,345.6,122.22,25.42,320.18,131.92
518,116.0,4.72,15.21,51.3,302.76,1251.39,0.0,1605.45,51.73,64.66,2305.14,2881.42,151.52,189.4,345.6,187.11,38.92,306.68,210.85
519,133.0,4.58,15.25,51.3,398.0,1214.58,0.0,1663.89,61.47,76.84,2320.86,2901.08,152.21,190.26,345.6,222.34,46.25,299.35,256.68
520,149.0,3.47,15.29,51.3,499.52,920.14,0.0,1470.96,60.88,76.1,2337.85,2922.32,152.93,191.16,345.6,220.2,45.8,299.8,253.84
521,158.0,0.0,15.33,51.3,561.69,0.0,0.0,612.99,26.9,33.63,2350.05,2937.56,153.3,191.62,345.6,97.31,20.24,325.36,103.36
522,149.0,-2.92,15.37,51.3,499.52,-772.92,0.0,-222.09,-9.19,-11.49,2352.51,2940.63,153.03,191.29,345.6,-33.25,-6.92,352.52,-32.6
523,137.0,-3.19,15.41,51.3,422.3,-846.53,0.0,-372.93,-14.19,-17.74,2349.26,2936.57,152.43,190.54,345.6,-51.33,-10.68,356.28,-49.79
524,126.0,-2.5,15.45,51.3,357.21,-662.5,0.0,-253.99,-8.89,-11.11,2346.05,2932.57,151.86,189.83,345.6,-32.15,-6.69,352.29,-31.54
525,119.0,-0.28,15.48,51.3,318.62,-73.61,0.0,296.31,9.79,12.24,2346.18,2932.72,151.54,189.42,345.6,35.43,7.37,338.23,36.2
526,124.0,2.36,15.52,51.3,345.96,625.69,0.0,1022.95,35.24,44.04,2352.43,2940.54,151.61,189.51,345.6,127.44,26.51,319.09,138.03
527,136.0,2.36,15.55,51.3,416.16,625.69,0.0,1093.15,41.3,51.62,2363.06,2953.83,151.94,189.93,345.6,149.37,31.07,314.53,164.12
528,141.0,0.42,15.59,51.3,447.32,110.42,0.0,609.04,23.85,29.82,2372.11,2965.14,152.15,190.18,345.6,86.28,17.95,327.65,91.0
529,139.0,-1.94,15.63,51.3,434.72,-515.28,0.0,-29.26,-1.13,-1.41,2375.27,2969.08,151.97,189.96,345.6,-4.09,-0.85,346.45,-4.08
530,127.0,-3.06,15.67,51.3,362.9,-809.72,0.0,-395.52,-13.95,-17.44,2373.17,2966.46,151.48,189.35,345.6,-50.47,-10.5,356.1,-48.98
531,117.0,-3.06,15.7,51.3,308.0,-809.72,0.0,-450.42,-14.64,-18.3,2369.2,2961.5,150.9,188.62,345.6,-52.95,-11.01,356.61,-51.31
532,105.0,-3.19,15.73,51.3,248.06,-846.53,0.0,-547.17,-15.96,-19.95,2364.95,2956.19,150.33,187.91,345.6,-57.72,-12.01,357.61,-55.78
533,94.0,-3.06,15.76,51.3,198.81,-809.72,0.0,-559.61,-14.61,-18.27,2360.71,2950.88,149.8,187.25,345.6,-52.85,-10.99,356.59,-51.22
534,83.0,-3.06,15.78,51.3,155.0,-809.72,0.0,-603.42,-13.91,-17.39,2356.74,2945.93,149.31,186.64,345.6,-50.32,-10.47,356.07,-48.84
535,72.0,-2.36,15.81,51.3,116.64,-625.69,0.0,-457.75,-9.16,-11.44,2353.54,2941.92,148.91,186.14,345.6,-33.11,-6.89,352.49,-32.47
536,66.0,-0.83,15.82,51.3,98.01,-220.83,0.0,-71.52,-1.31,-1.64,2352.09,2940.11,148.64,185.8,345.6,-4.74,-0.99,346.59,-4.73
537,66.0,1.11,15.84,51.3,98.01,294.44,0.0,443.75,8.14,10.17,2353.03,2941.29,148.52,185.66,345.6,29.43,6.12,339.48,29.96
538,74.0,3.47,15.86,51.3,123.21,920.14,0.0,1094.65,22.5,28.13,2357.29,2946.61,148.61,185.76,345.6,81.38,16.93,328.67,85.58
539,91.0,5.56,15.89,51.3,186.32,1472.22,0.0,1709.84,43.22,54.03,2366.42,2958.02,148.97,186.21,345.6,156.33,32.52,313.08,172.56
540,114.0,6.25,15.91,51.3,292.41,1656.25,0.0,1999.96,63.33,79.17,2381.22,2976.52,149.63,187.04,345.6,229.07,47.65,297.95,265.7
541,136.0,5.28,15.95,51.3,416.16,1398.61,0.0,1866.07,70.5,88.12,2399.8,2999.75,150.47,188.09,345.6,254.98,53.04,292.56,301.2
542,152.0,4.31,15.99,51.3,519.84,1140.97,0.0,1712.11,72.29,90.36,2419.63,3024.54,151.34,189.17,345.6,261.46,54.38,291.22,310.29
543,167.0,3.61,16.03,51.3,627.5,956.94,0.0,1635.75,75.88,94.85,2440.21,3050.27,152.2,190.25,345.6,274.45,57.09,288.51,328.76
544,178.0,3.06,16.08,51.3,712.89,809.72,0.0,1573.91,77.82,97.28,2461.56,3076.95,153.08,191.35,345.6,281.47,58.55,287.05,338.88
545,189.0,2.92,16.13,51.3,803.72,772.92,0.0,1627.94,85.47,106.83,2484.24,3105.3,154.0,192.5,345.6,309.12,64.3,281.3,379.78
546,199.0,2.5,16.19,51.3,891.02,662.5,0.0,1604.82,88.71,110.89,2508.43,3135.54,154.98,193.73,345.6,320.86,66.74,278.86,397.65
547,207.0,2.08,16.24,51.3,964.1,552.08,0.0,1567.49,90.13,112.66,2533.27,3166.59,155.97,194.97,345.6,325.99,67.81,277.79,405.56
548,214.0,1.81,16.3,51.3,1030.41,478.47,0.0,1560.18,92.74,115.93,2558.67,3198.34,156.97,196.21,345.6,335.45,69.77,275.83,420.3
